model_team,pointNA,target_end_date
CovidActNow.SEIR_CAN,,2020-07-03
IowaStateLW.STEM,31696,2020-07-03
JHU_IDD.CovidSP,31630.8766666667,2020-07-03
LANL.GrowthRate,31547.2934098423,2020-07-03
OliverWyman.Navigator,31554.85306,2020-07-03
UA.EpiCovDA,31330,2020-07-03
UCLA.SuEIR,31514.8086959996,2020-07-03
MIT_CovAlliance.SIR,30896.47,2020-07-03
SWC.TerminusCM,24887,2020-07-03
USACE.ERDC_SEIR,32430.3437766302,2020-07-03
YYG.ParamSearch,31482.8385841666,2020-07-03
YYG.ParamSearch,31500.0314497823,2020-07-04
YYG.ParamSearch,31500.0314497823,2020-07-04
MIT_CovidAnalytics.DELPHI,31207,2020-07-04
MOBS_NEU.GLEAM_COVID,31283.1921957673,2020-07-04
NotreDame.mobility,24855.264957265,2020-07-04
PSI.DRAFT,31350,2020-07-04
UT.Mobility,31615,2020-07-04
Auquan.SEIR,32360,2020-07-04
CU.nochange,31530,2020-07-04
CU.scenario_high,31538,2020-07-04
CU.scenario_low,31537,2020-07-04
CU.scenario_mid,31522,2020-07-04
CU.select,31537,2020-07-04
Covid19Sim.Simulator,31273.1813323349,2020-07-04
CovidActNow.SEIR_CAN,,2020-07-04
IowaStateLW.STEM,31733,2020-07-04
JHU_IDD.CovidSP,31693.2433333333,2020-07-04
LANL.GrowthRate,31575.175490425,2020-07-04
OliverWyman.Navigator,31584.51054,2020-07-04
UA.EpiCovDA,31345,2020-07-04
MIT_CovAlliance.SIR,30912.566,2020-07-04
SWC.TerminusCM,24898,2020-07-04
USACE.ERDC_SEIR,32440.8765489512,2020-07-04
Auquan.SEIR,32360,2020-07-04
COVIDhub.ensemble,31565.2248792143,2020-07-04
CU.nochange,31530,2020-07-04
CU.scenario_high,31538,2020-07-04
CU.scenario_low,31537,2020-07-04
CU.scenario_mid,31522,2020-07-04
CU.select,31537,2020-07-04
Covid19Sim.Simulator,31273.1813323349,2020-07-04
CovidActNow.SEIR_CAN,,2020-07-04
IHME.CurveFit,31381.393362915,2020-07-04
IowaStateLW.STEM,31733,2020-07-04
JHU_IDD.CovidSP,31693.2433333333,2020-07-04
LANL.GrowthRate,31575.175490425,2020-07-04
MIT_CovAlliance.SIR,30912.566,2020-07-04
MIT_CovidAnalytics.DELPHI,31207,2020-07-04
MOBS_NEU.GLEAM_COVID,31283.1921957673,2020-07-04
NotreDame.mobility,24855.264957265,2020-07-04
OliverWyman.Navigator,31584.51054,2020-07-04
PSI.DRAFT,31350,2020-07-04
UA.EpiCovDA,31345,2020-07-04
UCLA.SuEIR,31537.2853889739,2020-07-04
