state,date,reported_cases,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95_cumulative,reported_deaths,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R.t.,time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._higher_CI_95,mean_infectious_individuals,infectious_individuals_lower_CI_95,infectious_individuals_higher_CI_95
NY,2020-02-25,0,418.295561902667,170.844729509111,836.886048054713,0,0.0524663653313184,0.0142482670966185,0.131943002031944,3.69894041647526,2.55520034241996,4.95621602287021,1016.41676171394,325.500538056188,2359.8266469179
NY,2020-02-26,0,557.599648953837,235.094742132651,1092.26046821027,0,0.0760388760453716,0.0209553002517034,0.190734404447417,3.90002905047064,2.73696638342849,5.13322583683675,1274.60023990421,433.148406563593,2897.86617350939
NY,2020-02-27,0,650.879020680895,284.792918328719,1252.27874934075,0,0.105932331998885,0.0298091356329029,0.262643663658043,3.62039187320136,2.47694927973657,4.88536590842696,1596.94305056995,571.689632294636,3487.660389872
NY,2020-02-28,0,854.811525261654,385.723554842222,1625.32350945101,0,0.143765752459879,0.0415098737443851,0.351773239116722,3.76553180877326,2.61867048817961,5.01909546394112,2001.88137088213,763.968892220658,4180.84567301102
NY,2020-02-29,0,1208.05222266601,601.873593865207,2136.4123019466,0,0.191364556349922,0.0569449520563019,0.459656967296045,4.26126042135103,3.17128394905677,5.35175935078627,2503.10806812113,1002.60865954511,5099.91811139405
NY,2020-03-01,1,1574.50085868508,815.65842318775,2753.02964790133,0,0.250438550425589,0.0772047247611027,0.591896692530226,4.38265661198756,3.28181307960306,5.45928076960553,3157.88550824296,1315.62914391752,6258.31546916053
NY,2020-03-02,0,1996.0785629005,1075.81176093662,3409.99937866095,0,0.324703282655295,0.103840591178772,0.750688150432982,4.31873149717775,3.22701449085568,5.40076134258702,4049.78238522347,1769.19256360407,7742.01622586331
NY,2020-03-03,1,2578.2116538182,1439.44012680877,4319.60742019457,0,0.41732514312203,0.139279711412699,0.947133586626291,4.29470117729771,3.20604591271411,5.38193257741128,5240.50448110626,2414.45752976072,9643.36442736922
NY,2020-03-04,9,3416.27666446261,1955.5990842264,5589.5217816186,0,0.533842074154756,0.188135995558967,1.18121131349697,4.37087443943529,3.27341396500151,5.45054391623368,6791.97607549849,3290.73513426105,12195.4955218563
NY,2020-03-05,11,4519.07956180215,2636.26946840764,7303.39616215893,0,0.680865812599275,0.252273422591757,1.48114105065231,4.43716821037042,3.33909274363432,5.5167621533301,8812.03536086612,4494.79826578477,15494.7342336104
NY,2020-03-06,22,5391.45524527899,3170.40435187296,8685.19926275196,0,0.867439824498783,0.338390730834739,1.82435434493811,4.05818609029259,2.97833892650086,5.17226936472058,11471.2293985679,6108.51716736436,19707.0530640919
NY,2020-03-07,45,8273.7762682691,5211.45075459947,12618.5314239617,0,1.10613745907376,0.454189079936752,2.23806196635738,4.787523406149,3.85145767365243,5.74811102058007,14902.8071330022,8188.7802195375,25282.943847192
NY,2020-03-08,17,10582.9296328863,6772.18205267951,15760.066173612,0,1.4135270249534,0.608215678442792,2.77713640045332,4.69848311915413,3.75302119322813,5.67694901315348,19395.8816052519,11068.0805386577,32085.1934717061
NY,2020-03-09,36,13848.9935837874,9077.0416320002,20390.9955297643,0,1.8106187115185,0.824242354812837,3.44874162274863,4.64901822738924,3.70736842383729,5.62452993060973,25595.6039756318,15042.9743734127,41190.4913008697
NY,2020-03-10,31,17728.2943680974,11755.9060190447,25870.6085059921,0,2.32534518913707,1.11342937608361,4.27269112390605,4.48374811040812,3.53641820597623,5.4733159404424,33911.4726289427,20497.7214668887,52842.2772037275
NY,2020-03-11,44,24083.3463201773,16125.9923764908,34886.5652053285,0,2.996494340219,1.50071185597943,5.32948657935381,4.59392617648225,3.65711697259875,5.57104008318359,44822.2814600697,27952.5398800907,68249.6948376482
NY,2020-03-12,109,33336.6601684062,22291.590226877,48471.5539378375,0,3.87631217640552,2.02731211801922,6.68424384684251,4.8079341392833,3.89158176368927,5.75089024995165,59088.3976815088,37671.8273761624,88573.4444409607
